PLAYER,TEAM,CONF,POSITION,GAMES,VALUE_MILLIONS,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,GP,M0,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Rashad Vaughn,Milwaukee Bucks,East,SG,41,785,20,11.2,1.4,3.8,0.365,0.6,2,0.321,0.8,1.8,0.413,0.449,0,0.1,0.4,0.1,1.1,1.2,0.6,0.5,0.2,0.3,0.8,3.5,41,11.2,-3.44,-0.89,-4.33,-0.35,5.2,96.36,18,1.81,128,2,7
Tyler Zeller,Boston Celtics,East,C,41,2200,27,10.3,1.5,3.1,0.494,0,0,0,1.5,3.1,0.497,0.494,0.4,0.8,0.564,0.8,1.6,2.4,0.8,0.1,0.4,0.4,1.2,3.5,51,10.3,-2.5,0.2,-2.3,0.28,8.5,99.46,32,8,336,15,14
Dragan Bender,Phoenix Suns,West,PF,41,1100,19,13.3,1.3,3.7,0.354,0.7,2.3,0.277,0.7,1.4,0.483,0.441,0.1,0.3,0.364,0.5,1.9,2.4,0.5,0.2,0.5,0.7,1.7,3.4,43,13.3,-3.2,-0.68,-3.88,-0.28,3.3,100.06,13,4.28,495,-0.333,-0.333
Jared Sullinger,Toronto Raptors,East,PF,41,1125,24,10.7,1.4,4.3,0.319,0.3,1.6,0.167,1.1,2.6,0.414,0.351,0.4,0.7,0.5,0.9,1.5,2.5,0.3,0.4,0.1,0.4,1.5,3.4,11,10.7,-2.7,0.9,-1.8,0.1,2.7,96.58,2,5.63,368.5,11,2
Henry Ellenson,Detroit Pistons,East,PF,41,900,20,7.7,1.2,3.4,0.359,0.5,1.8,0.286,0.7,1.5,0.448,0.438,0.2,0.4,0.5,0.4,1.7,2.2,0.4,0.1,0.1,0.7,0.3,3.2,19,7.7,-2.32,0.38,-1.94,0.1,7.6,95.74,8,1.7,147,6.5,5
Paul Pierce,Los Angeles Clippers,West,SF,41,2000,39,11.1,1.1,2.8,0.4,0.6,1.7,0.349,0.5,1.1,0.481,0.507,0.4,0.5,0.769,0,1.9,1.9,0.4,0.2,0.2,0.6,1.6,3.2,25,11.1,-2.04,1.24,-0.8,0.4,4.4,97.71,16,3.53,1671,346.5,142
Jarrett Jack,New Orleans Pelicans,West,PG,41,750,33,16.5,1,1.5,0.667,0,0.5,0,1,1,1,0.667,1,1,1,0,0,0,2.5,1,0,1.5,2,3,2,16.5,-1.85,0.01,-1.84,0.03,5.1,97.67,1,0.06,245.5,11.5,7
Fred VanVleet,Toronto Raptors,East,PG,41,1125,22,7.9,1.1,3,0.351,0.3,0.8,0.379,0.8,2.2,0.341,0.401,0.5,0.6,0.818,0.1,1,1.1,0.9,0.4,0.1,0.4,1,2.9,37,7.9,-2.44,0.83,-1.61,0.28,7.8,97.63,25,1.31,116.5,0,17.5
Kyle Singler,Oklahoma City Thunder,West,SF,41,1025,28,12,1.1,2.6,0.41,0.2,1.2,0.189,0.8,1.4,0.587,0.452,0.4,0.5,0.765,0.3,1.3,1.5,0.3,0.2,0.2,0.3,0.9,2.8,32,12,-3.25,0.9,-2.35,0.19,4.6,99.19,15,4.84,354,9,6
Omer Asik,New Orleans Pelicans,West,C,41,750,30,15.5,1,2.1,0.477,0,0,-0.333,1,2.1,0.477,0.477,0.7,1.3,0.59,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2.7,31,15.5,-2.97,1.94,-1.03,0.65,7.3,99.64,12,9.9,8,-0.333,-0.333
Tomas Satoransky,Washington Wizards,East,SG,41,1000,25,12.6,1.1,2.6,0.415,0.2,0.6,0.243,0.9,1.9,0.473,0.446,0.4,0.6,0.697,0.4,1,1.5,1.6,0.5,0.1,0.7,1.1,2.7,57,12.6,-2.1,1.08,-1.02,0.93,6.4,95.69,33,2.87,4,7,8.5
Mike Scott,Atlanta Hawks,East,PF,41,885,28,10.8,0.9,3.3,0.288,0.2,1.5,0.148,0.7,1.8,0.406,0.322,0.4,0.4,0.875,0.6,1.5,2.1,0.9,0.2,0.2,0.4,0.7,2.5,18,10.8,-2.92,0.26,-2.66,0.06,5.8,97.93,7,3.33,7,2,1
Greivis Vasquez,Brooklyn Nets,East,PG,41,1800,30,13,0.7,2.7,0.25,0.3,1,0.333,0.3,1.7,0.2,0.313,0.7,1,0.667,0,0.7,0.7,1.7,0.3,0.3,0.3,2,2.3,3,13,-1.77,-0.38,-2.15,0.03,0.9,102.41,1,4.35,39,10,8.5
James Young,Boston Celtics,East,SG,41,2200,21,7.6,0.9,2,0.431,0.4,1.2,0.343,0.4,0.8,0.565,0.534,0.2,0.3,0.667,0.2,0.7,0.9,0.1,0.3,0.1,0.1,0.5,2.3,29,7.6,-1.88,-0.28,-2.16,0.14,6.4,100.01,16,1.83,12,0,12
Rakeem Christmas,Indiana Pacers,East,PF,41,880,25,7.6,0.7,1.5,0.442,0,0,-0.333,0.7,1.5,0.442,0.442,0.7,1,0.724,0.9,1,1.9,0.1,0.1,0.2,0.3,1.3,2,29,7.6,-2.2,0.5,-1.7,0.2,4.9,98.43,14,1.47,185,13,3
Udonis Haslem,Miami Heat,East,C,41,1350,36,8.1,0.7,1.4,0.478,0,0.2,0,0.7,1.3,0.55,0.478,0.6,0.9,0.6,0.5,1.8,2.3,0.4,0.4,0.1,0.5,1.4,1.9,16,8.1,-2.79,0.73,-2.06,0.09,7.3,98.53,6,4,401,28.5,18
Lamar Patterson,Atlanta Hawks,East,SG,41,885,25,8,0.6,3,0.2,0.2,1.2,0.167,0.4,1.8,0.222,0.233,0.4,0.6,0.667,0.2,1.2,1.4,1.2,0.2,0,0.8,1.2,1.8,5,8,-2.23,0.62,-1.61,0.03,-0.4,93.96,1,0.25,82,4,4
Cole Aldrich,Minnesota Timberwolves,West,C,41,770,28,8.6,0.7,1.4,0.523,0,0,-0.333,0.7,1.4,0.523,0.523,0.2,0.4,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,62,8.6,-1.82,1.83,0.01,1.04,7.6,97.42,23,7.64,220.5,22,9
Nick Collison,Oklahoma City Thunder,West,PF,41,1025,36,6.4,0.7,1.2,0.609,0,0.1,0,0.7,1.1,0.636,0.609,0.3,0.4,0.625,0.5,1.1,1.6,0.6,0.1,0.1,0.2,0.9,1.7,20,6.4,-2.18,1.12,-1.06,0.17,12,97.52,10,3.75,283.5,10,12
Bruno Caboclo,Toronto Raptors,East,SF,41,1125,21,4.4,0.7,1.8,0.375,0.2,0.7,0.333,0.4,1.1,0.4,0.438,0,0,-0.333,0.6,0.6,1.1,0.4,0.2,0.1,0.2,0.4,1.6,9,4.4,-1.76,0.11,-1.65,0.04,9.4,95.38,8,1.59,270.5,11,8
Ryan Kelly,Atlanta Hawks,East,PF,41,885,25,6.9,0.5,1.8,0.286,0.3,0.6,0.4,0.3,1.1,0.222,0.357,0.3,0.4,0.833,0.1,1.1,1.1,0.5,0.3,0.3,0.3,0.3,1.6,16,6.9,-1.94,1.45,-0.49,0.08,7.3,96.26,6,1.58,23,17,10
Jordan Mickey,Boston Celtics,East,PF,41,2200,22,5.6,0.6,1.4,0.441,0,0,0,0.6,1.3,0.455,0.441,0.3,0.6,0.571,0.5,0.8,1.4,0.3,0.1,0.2,0.4,0.5,1.5,25,5.6,-2.62,-0.15,-2.77,0.03,6,97.66,9,1.47,129.5,0,3
Alonzo Gee,Denver Nuggets,West,SF,41,890,29,6.8,0.2,1.1,0.214,0,0.2,0,0.2,0.8,0.273,0.214,0.4,0.7,0.556,0.3,0.8,1.2,0.5,0.4,0.1,0.3,1.1,0.8,13,6.8,-2.11,0.43,-1.68,0.08,0.8,104.33,4,0.06,109,-0.333,-0.333
